Video title,Comment,Processed_Comment,English_Translation,Tokenized_POS
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra",I love that sameer has a navel piercing 😳✨️,love sameer navel piercing,Love Sameer NAVEL Pierti,"[('Love', 'VERB'), ('Sameer', 'PROPN'), ('NAVEL', 'PROPN'), ('Pierti', 'PROPN')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra",2022/Sat/14 Of May Time 03:22 Am Watching This 👀🤍,sat may time watching,sat may time watching,"[('sat', 'VERB'), ('may', 'AUX'), ('time', 'NOUN'), ('watching', 'VERB')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra",قصے میری الفت کے جو مركوم ہے سارے 🖤 اہ دیکھ تیرے نام سے موسوم ہے سارے 🤍 شاید یہ ظرف ہے خاموش ہو ابتک 💜 ورنہ تو تیرے عیب بی معلوم ہے سارے 🤎 سب جرم میری ذات سے منسوب ہے محسن 🧡 کیا میرے سوا اِس شہر میں معصوم ہے سارے ✌️🔥💛😄جب دھیمے دھیمے ہنستی ہو 💛 اس بارش جیسی لگتی ہو 🖤 تھوڑی دل کی کہتی ہو 🤍 زیادہ دل میں رکھتی ہو 💜کیوں جاؤ رنگریز کے پاس تم سیاہ میں بی جچتی ہو 💜 کرنے دو انہیں سنگھار تم سادہ سجتی ہو ✌️🔥💛🤍تیرا فرقہ حسن و دولت ہے 💵💃<br>میرا فرقہ ہے اُداس لوگوں کا 😌😊<br>حسنین ناساز ✌️🔥🖤🤍💛,br br,br br,"[('br', 'PROPN'), ('br', 'VERB')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra",Super movie ever i seen......,super movie ever seen,Super movie ever Seen,"[('Super', 'ADJ'), ('movie', 'NOUN'), ('ever', 'ADV'), ('Seen', 'VERB')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra","<a href=""https://www.youtube.com/watch?v=RcAFvAvKWTY&amp;t=6333"">1:45:33</a> funny seen 😂",href funny seen,href funny seen,"[('href', 'PROPN'), ('funny', 'PROPN'), ('seen', 'VERB')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra","<a href=""https://www.youtube.com/watch?v=RcAFvAvKWTY&amp;t=6333"">1:45:33</a> funny seen 😂",href funny seen,href funny seen,"[('href', 'PROPN'), ('funny', 'PROPN'), ('seen', 'VERB')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra",Great movie,great movie,great movie,"[('great', 'ADJ'), ('movie', 'NOUN')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra",Ending is Veryy Nice💖Amazzing,ending niceamazzing,Ending niceamazzing,"[('Ending', 'VERB'), ('niceamazzing', 'NOUN')]"
"Mujhse Shaadi Karogi (Eng Subs) Hindi Full Movie & Songs- Salman Khan, Akshay Kumar, Priyanka Chopra","<a href=""https://www.youtube.com/watch?v=RcAFvAvKWTY&amp;t=2295"">38:15</a> Akshay entry 💕💕",href akshay entry,href akshay entry,"[('href', 'PROPN'), ('akshay', 'PROPN'), ('entry', 'PROPN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Very nice ji 👌👌❤️❤️❤️❤️❤️,nice ji,nice ji,"[('nice', 'ADJ'), ('ji', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Yeasa..philm..aab..banana..chaheye,yeasaphilmaabbananachaheye,yeasaphilmaabbananachaheye,"[('yeasaphilmaabbananachaheye', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",2024 me kon kon dekh rahe he??????,kon kon dekh rahe,Seeing angle angle,"[('Seeing', 'VERB'), ('angle', 'NOUN'), ('angle', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani","Kya koi bata sakta hai ki <a href=""https://www.youtube.com/watch?v=Qiw23pR8cMo&amp;t=1146"">19:06</a> pe Jitendra ke hath mei ye kaunsa instrument hai",kya koi bata sakta hai ki href pe jitendra ke hath mei ye kaunsa instrument hai,Can anyone tell which instrument is this in Jeetendra's hand,"[('Can', 'AUX'), ('anyone', 'PRON'), ('tell', 'VERB'), ('which', 'DET'), ('instrument', 'NOUN'), ('is', 'AUX'), ('this', 'PRON'), ('in', 'ADP'), ('Jeetendra', 'PROPN'), (""'s"", 'PART'), ('hand', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani","Very inspirational movie, thank you very much.",inspirational movie thank much,Inspirational Movie Thank Much,"[('Inspirational', 'PROPN'), ('Movie', 'PROPN'), ('Thank', 'VERB'), ('Much', 'ADV')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Seen,seen,Seen,"[('Seen', 'VERB')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Shobhna Jitendra shukla ❤ Jyoti yogti shiva shukla 2024,shobhna jitendra shukla jyoti yogti shiva shukla,Shobhana Jitendra Shukla Jyoti Yogati Shiva Shukla,"[('Shobhana', 'PROPN'), ('Jitendra', 'PROPN'), ('Shukla', 'PROPN'), ('Jyoti', 'PROPN'), ('Yogati', 'PROPN'), ('Shiva', 'PROPN'), ('Shukla', 'PROPN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",2024 me kon kon dekh rha like kro 😊,kon kon dekh rha like kro,Look at the angle angle,"[('Look', 'VERB'), ('at', 'ADP'), ('the', 'DET'), ('angle', 'NOUN'), ('angle', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",24 me kon kon dekh raha hai like karo😂😂,kon kon dekh raha hai like karo,The angle is looking at the angle,"[('The', 'DET'), ('angle', 'NOUN'), ('is', 'AUX'), ('looking', 'VERB'), ('at', 'ADP'), ('the', 'DET'), ('angle', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Shadi ke naam par ye sab isiliye hota aya hai kyonki ladki ko na padhaya jata tha na paise kamana sikhate the.,shadi ke naam par ye sab isiliye hota aya hai kyonki ladki ko na padhaya jata tha na paisa kamana sikhate,All this has happened in the name of marriage because the girl was neither taught nor taught to earn money,"[('All', 'DET'), ('this', 'PRON'), ('has', 'AUX'), ('happened', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('name', 'NOUN'), ('of', 'ADP'), ('marriage', 'NOUN'), ('because', 'SCONJ'), ('the', 'DET'), ('girl', 'NOUN'), ('was', 'AUX'), ('neither', 'ADV'), ('taught', 'VERB'), ('nor', 'CCONJ'), ('taught', 'VERB'), ('to', 'PART'), ('earn', 'VERB'), ('money', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Logic kaha hai?) 😂,logic kaha hai,Where is logic,"[('Where', 'SCONJ'), ('is', 'AUX'), ('logic', 'ADJ')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",2024 attendance🎉🎉 ..  so that i can come if someone likes my comments,attendance come someone like comment,Attendance come someone like comment,"[('Attendance', 'NOUN'), ('come', 'VERB'), ('someone', 'PRON'), ('like', 'ADP'), ('comment', 'NOUN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani",Beautiful movie👍बहुत बढ़िया फिल्म👌,beautiful movie,Beautiful Movie,"[('Beautiful', 'PROPN'), ('Movie', 'PROPN')]"
"Shaadi Ke Baad (1972) Full Hindi Movie | Jeetendra, Rakhee, Shatrughan Sinha, Asrani","Ye h movie, Jo sikhati h sanskaar, ab kha banti h aisi movie",ye h movie jo sikhati h sanskaar ab kha banti h aisi movie,This movie which teaches: Sanskar now makes such a movie,"[('This', 'DET'), ('movie', 'NOUN'), ('which', 'PRON'), ('teaches', 'VERB'), (':', 'PUNCT'), ('Sanskar', 'PROPN'), ('now', 'ADV'), ('makes', 'VERB'), ('such', 'DET'), ('a', 'DET'), ('movie', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Is trh ki movies aajkal  kyu nhi bnati...bahut aachi movie thi..😊,trh ki movie aajkal kyu nhi bnatibahut aachi movie thi,Why didn't you have kind of movie nowadays Banatibahutchi movie,"[('Why', 'SCONJ'), ('did', 'AUX'), (""n't"", 'PART'), ('you', 'PRON'), ('have', 'VERB'), ('kind', 'ADV'), ('of', 'ADP'), ('movie', 'NOUN'), ('nowadays', 'ADV'), ('Banatibahutchi', 'PROPN'), ('movie', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,"<a href=""https://www.youtube.com/watch?v=7T_B0MzJcXo&amp;t=3335"">55:35</a> ❤",href,href,"[('href', 'VERB')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Very nice movies ❤❤❤❤,nice movie,nice movie,"[('nice', 'ADJ'), ('movie', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,very nice movie ❤❤❤❤❤,nice movie,nice movie,"[('nice', 'ADJ'), ('movie', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Film me bhi musalman ko badnam kar rahe hai,film bhi musalman ko badnam kar rahe hai,The film is also defaming Muslims,"[('The', 'DET'), ('film', 'NOUN'), ('is', 'AUX'), ('also', 'ADV'), ('defaming', 'VERB'), ('Muslims', 'PROPN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,ये मूवी मैंने गांव मे छत पे cd पे देखि थी बचपन मे 2003 मे और आज 2024 है.. वो दिन याद आ गई बचपन के 😢😢,cd,height,"[('height', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Hamare liye kab aayegi meriwali😂😂😂😂,hamare liye kab aayegi meriwali,When will my wali come for us,"[('When', 'SCONJ'), ('will', 'AUX'), ('my', 'PRON'), ('wali', 'NOUN'), ('come', 'VERB'), ('for', 'ADP'), ('us', 'PRON')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Kon kon reels dekh kar yah movie dekhne aaya Hai🎉🎉🎉,kon kon reel dekh kar yah movie dekhne aaya hai,"Seeing the angle reel, this movie has come to watch","[('Seeing', 'VERB'), ('the', 'DET'), ('angle', 'NOUN'), ('reel', 'NOUN'), (',', 'PUNCT'), ('this', 'DET'), ('movie', 'NOUN'), ('has', 'AUX'), ('come', 'VERB'), ('to', 'PART'), ('watch', 'VERB')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,2024 me kon kon dekh raha hai ❤🎉,kon kon dekh raha hai,The angle is looking at the angle,"[('The', 'DET'), ('angle', 'NOUN'), ('is', 'AUX'), ('looking', 'VERB'), ('at', 'ADP'), ('the', 'DET'), ('angle', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Same aise hi aj k samay me ho rha h.koi bhi ladki ladka dusre dharam k logo se mohabbat kr leta h to use love jihad ka nam deke sarkar danga fasad krk apni rotiya sekti h,aise hi aj k samay ho rha hkoi bhi ladki ladka dusre dharam k logo se mohabbat kr leta h use love jihad ka nam deke sarkar danga fasad krk apni rotiya sekti h,"In the same time, the time is happening today, the girl boy loves the other Dharam people and gives him the name of love jihad, the riot can make his loaves his loaves.","[('In', 'ADP'), ('the', 'DET'), ('same', 'ADJ'), ('time', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('time', 'NOUN'), ('is', 'AUX'), ('happening', 'VERB'), ('today', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('girl', 'NOUN'), ('boy', 'NOUN'), ('loves', 'VERB'), ('the', 'DET'), ('other', 'ADJ'), ('Dharam', 'PROPN'), ('people', 'NOUN'), ('and', 'CCONJ'), ('gives', 'VERB'), ('him', 'PRON'), ('the', 'DET'), ('name', 'NOUN'), ('of', 'ADP'), ('love', 'NOUN'), ('jihad', 'PROPN'), (',', 'PUNCT'), ('the', 'DET'), ('riot', 'NOUN'), ('can', 'AUX'), ('make', 'VERB'), ('his', 'PRON'), ('loaves', 'NOUN'), ('his', 'PRON'), ('loaves', 'NOUN'), ('.', 'PUNCT')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Very nice movie,nice movie,nice movie,"[('nice', 'ADJ'), ('movie', 'NOUN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,How Bakhshi surname is Muslim ?,bakhshi surname muslim,Bakshi Suraname Muslim,"[('Bakshi', 'PROPN'), ('Suraname', 'PROPN'), ('Muslim', 'PROPN')]"
Dahek | Hindi Full Movie | Akshaye Khanna | Sonali Bendre | Bollywood Romantic Movie,Jay shri ram ji,jay shri ram ji,Hail Lord Rama,"[('Hail', 'PROPN'), ('Lord', 'PROPN'), ('Rama', 'PROPN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Hema Malini ji gorgious,hema malini ji gorgious,Hema Malini Ji Gorgious,"[('Hema', 'PROPN'), ('Malini', 'PROPN'), ('Ji', 'PROPN'), ('Gorgious', 'PROPN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Ye ladki ek dam bakwas lag rahi h,ye ladki ek dam bakwas lag rahi h,These girls are looking rubbish at all,"[('These', 'DET'), ('girls', 'NOUN'), ('are', 'AUX'), ('looking', 'VERB'), ('rubbish', 'NOUN'), ('at', 'ADV'), ('all', 'ADV')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Hum😮,hum,We,"[('We', 'PRON')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Super hit movi hii bhaye app seb dakhay bhaye,super hit movi hii bhaye app seb dakhay bhaye,Super hit movie,"[('Super', 'NOUN'), ('hit', 'VERB'), ('movie', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Great content. Good storyline but missed one direction. During the partition first the mother hands over her baby to a woman then not convincingly screams at the woman for her child. Other part was that not a di how time parents in Pakistan searched for their kid. Hero of the story is very lucky to be around experienced stars along with his leading lady. Rekha and Rishi performed wonderfully. Some other actors too.,great content good storyline missed one direction partition first mother hand baby woman convincingly scream woman child part di time parent pakistan searched kid hero story lucky around experienced star along leading lady rekha rishi performed wonderfully actor,Great Content Good Storyline Missed One Direction Partition First Mother Hand Baby Woman Convincingly Scream Woman Child Part Di Time Parent Pakistan Searched Kid Hero Story Lucky ARONDENCED SAREND SAPERANCED kha rishi performed wonderfully actor,"[('Great', 'PROPN'), ('Content', 'PROPN'), ('Good', 'PROPN'), ('Storyline', 'PROPN'), ('Missed', 'VERB'), ('One', 'NUM'), ('Direction', 'PROPN'), ('Partition', 'PROPN'), ('First', 'PROPN'), ('Mother', 'PROPN'), ('Hand', 'PROPN'), ('Baby', 'PROPN'), ('Woman', 'PROPN'), ('Convincingly', 'PROPN'), ('Scream', 'PROPN'), ('Woman', 'PROPN'), ('Child', 'PROPN'), ('Part', 'PROPN'), ('Di', 'PROPN'), ('Time', 'PROPN'), ('Parent', 'PROPN'), ('Pakistan', 'PROPN'), ('Searched', 'PROPN'), ('Kid', 'PROPN'), ('Hero', 'PROPN'), ('Story', 'PROPN'), ('Lucky', 'PROPN'), ('ARONDENCED', 'PROPN'), ('SAREND', 'PROPN'), ('SAPERANCED', 'PROPN'), ('kha', 'PROPN'), ('rishi', 'PROPN'), ('performed', 'VERB'), ('wonderfully', 'ADV'), ('actor', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Very nice movie,nice movie,nice movie,"[('nice', 'ADJ'), ('movie', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Ishaan Aur Chandni ki acting bohat buri hai. Koi achhay actors letaty to behtar tha.,ishaan aur chandni ki acting bohat buri hai koi achhay actor letaty behtar tha,"Ishaan and moonlight acting is very bad, a good actor was better.","[('Ishaan', 'NOUN'), ('and', 'CCONJ'), ('moonlight', 'NOUN'), ('acting', 'NOUN'), ('is', 'AUX'), ('very', 'ADV'), ('bad', 'ADJ'), (',', 'PUNCT'), ('a', 'DET'), ('good', 'ADJ'), ('actor', 'NOUN'), ('was', 'AUX'), ('better', 'ADJ'), ('.', 'PUNCT')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,A Very good concept its  result of partition many peoples suffering from this kind of decision,good concept result partition many people suffering kind decision,Good Concept Result Partition Many People Suffering Kind Decision,"[('Good', 'PROPN'), ('Concept', 'PROPN'), ('Result', 'PROPN'), ('Partition', 'NOUN'), ('Many', 'ADJ'), ('People', 'NOUN'), ('Suffering', 'VERB'), ('Kind', 'PROPN'), ('Decision', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Nice movie,nice movie,nice movie,"[('nice', 'ADJ'), ('movie', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Nice movie,nice movie,nice movie,"[('nice', 'ADJ'), ('movie', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Gajab rula diya yaar,gajab rula diya yaar,Awesome cry,"[('Awesome', 'ADJ'), ('cry', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,2024 me Kon Kon dekh raha he,kon kon dekh raha,Seeing the angle angle,"[('Seeing', 'VERB'), ('the', 'DET'), ('angle', 'NOUN'), ('angle', 'NOUN')]"
SADIYAAN 2010 | Bollywood Movie | Romantic Movie | Action Movie | Rishi Kapoor | Hema Malini | Rekha,Mjhe to Rona aa gya 😢😢😢😢,mjhe rona aa gya,I cry,"[('I', 'PRON'), ('cry', 'VERB')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,"Watch Blockbuster Movie &quot;Teddy&quot; Starring &quot;Arya, Sayyeshaa Saigal&quot;<br><a href=""https://www.youtube.com/watch?v=jAgms4dveVw"">https://www.youtube.com/watch?v=jAgms4dveVw</a>",watch blockbuster movie quotteddyquot starring quotarya sayeshaa saigalquot bra href,Watch Blockbuster Movie QuottedDyquot Starring Quotarya Sayeshaa Sagalquot Bra Href,"[('Watch', 'VERB'), ('Blockbuster', 'PROPN'), ('Movie', 'PROPN'), ('QuottedDyquot', 'PROPN'), ('Starring', 'PROPN'), ('Quotarya', 'PROPN'), ('Sayeshaa', 'PROPN'), ('Sagalquot', 'PROPN'), ('Bra', 'PROPN'), ('Href', 'PROPN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,I am watching this movie in 2023 ❤❤,watching movie,Watching movie,"[('Watching', 'VERB'), ('movie', 'NOUN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,20 saal pahle chori ki tha na matlab ab to currency 💵 change ho gayi hogi 😅😅,saal pahle chori ki tha na matlab ab currency change ho gayi hogi,"Years ago, there was no meaning of stolen, now the currency must have changed","[('Years', 'NOUN'), ('ago', 'ADV'), (',', 'PUNCT'), ('there', 'PRON'), ('was', 'VERB'), ('no', 'DET'), ('meaning', 'NOUN'), ('of', 'ADP'), ('stolen', 'VERB'), (',', 'PUNCT'), ('now', 'ADV'), ('the', 'DET'), ('currency', 'NOUN'), ('must', 'AUX'), ('have', 'AUX'), ('changed', 'VERB')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,Kasm sa this movie of my farvate,kasm sa movie farvate,kasm sa movie farvate,"[('kasm', 'NOUN'), ('sa', 'PROPN'), ('movie', 'NOUN'), ('farvate', 'NOUN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,"<a href=""https://www.youtube.com/watch?v=AXk-ztyqe_Q&amp;t=5915"">1:38:35</a> 😂😂😂",href,href,"[('href', 'VERB')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,Wow great👍 movie🎥 😄😄👌thanks for uploading 😄🙏,wow great movie thanks uploading,Wow great movie thanks uploading,"[('Wow', 'INTJ'), ('great', 'ADJ'), ('movie', 'NOUN'), ('thanks', 'NOUN'), ('uploading', 'VERB')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,who spotted snoop dogg,spotted snoop dogg,Spotted snooop dogg,"[('Spotted', 'ADJ'), ('snooop', 'NOUN'), ('dogg', 'NOUN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,Oh My God Oththhe Oththhe Oththhe Oh My God Oththhe Krish Maas Krish Maas Krish Maas Sir Oththhe.,oh god oththhe oththhe oththhe oh god oththhe krish maas krish maas krish maas sir oththhe,Oh God Oththhe Oththhe Oh God Oththhe Krish Maas Krishna Maas Krish Maas Sir Othathhe,"[('Oh', 'INTJ'), ('God', 'PROPN'), ('Oththhe', 'PROPN'), ('Oththhe', 'PROPN'), ('Oh', 'INTJ'), ('God', 'PROPN'), ('Oththhe', 'PROPN'), ('Krish', 'PROPN'), ('Maas', 'PROPN'), ('Krishna', 'PROPN'), ('Maas', 'PROPN'), ('Krish', 'PROPN'), ('Maas', 'PROPN'), ('Sir', 'PROPN'), ('Othathhe', 'PROPN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,Shandar Zabardast Zindabad Movie Hai Bhai,shandar zabardast zindabad movie hai bhai,Brilliant tremendous alive movie is brother,"[('Brilliant', 'ADJ'), ('tremendous', 'ADJ'), ('alive', 'ADJ'), ('movie', 'NOUN'), ('is', 'AUX'), ('brother', 'NOUN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,Koi batayega vo burkhe wali ka naam,koi batayega vo burkhe wali ka naam,Someone will tell the name of the burkhi wali,"[('Someone', 'PRON'), ('will', 'AUX'), ('tell', 'VERB'), ('the', 'DET'), ('name', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('burkhi', 'PROPN'), ('wali', 'PROPN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,Miss yu raju sir ji,miss yu raju sir ji,Miss Yu Raju Sir Ji,"[('Miss', 'PROPN'), ('Yu', 'PROPN'), ('Raju', 'PROPN'), ('Sir', 'PROPN'), ('Ji', 'PROPN')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,"<a href=""https://www.youtube.com/watch?v=AXk-ztyqe_Q&amp;t=1796"">29:56</a> रिकी पोंटिंग😂",href,href,"[('href', 'VERB')]"
VIJAY RAAZ Best Comedy Hindi Full Movie | Journey Bombay To Goa (जर्नी बॉम्बे टू गोवा) | Sunil Pal,",26 The Praise the Lord 86 🙏🤗🌠😇😊👍 John 3:16",praise lord john,Praise Lord John,"[('Praise', 'PROPN'), ('Lord', 'PROPN'), ('John', 'PROPN')]"
